time,AERONET_Site,Day_of_Year,Day_of_Year(Fraction),AOD_Coincident_Input[440nm],AOD_Coincident_Input[675nm],AOD_Coincident_Input[870nm],AOD_Coincident_Input[1020nm],Angstrom_Exponent_440-870nm_from_Coincident_Input_AOD,AOD_Extinction-Total[440nm],AOD_Extinction-Total[675nm],AOD_Extinction-Total[870nm],AOD_Extinction-Total[1020nm],AOD_Extinction-Fine[440nm],AOD_Extinction-Fine[675nm],AOD_Extinction-Fine[870nm],AOD_Extinction-Fine[1020nm],AOD_Extinction-Coarse[440nm],AOD_Extinction-Coarse[675nm],AOD_Extinction-Coarse[870nm],AOD_Extinction-Coarse[1020nm],Extinction_Angstrom_Exponent_440-870nm-Total,Single_Scattering_Albedo[440nm],Single_Scattering_Albedo[675nm],Single_Scattering_Albedo[870nm],Single_Scattering_Albedo[1020nm],Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Refractive_Index-Real_Part[440nm],Refractive_Index-Real_Part[675nm],Refractive_Index-Real_Part[870nm],Refractive_Index-Real_Part[1020nm],Refractive_Index-Imaginary_Part[440nm],Refractive_Index-Imaginary_Part[675nm],Refractive_Index-Imaginary_Part[870nm],Refractive_Index-Imaginary_Part[1020nm],Asymmetry_Factor-Total[440nm],Asymmetry_Factor-Total[675nm],Asymmetry_Factor-Total[870nm],Asymmetry_Factor-Total[1020nm],Asymmetry_Factor-Fine[440nm],Asymmetry_Factor-Fine[675nm],Asymmetry_Factor-Fine[870nm],Asymmetry_Factor-Fine[1020nm],Asymmetry_Factor-Coarse[440nm],Asymmetry_Factor-Coarse[675nm],Asymmetry_Factor-Coarse[870nm],Asymmetry_Factor-Coarse[1020nm],Sphericity_Factor(%),0.050000,0.065604,0.086077,0.112939,0.148184,0.194429,0.255105,0.334716,0.439173,0.576227,0.756052,0.991996,1.301571,1.707757,2.240702,2.939966,3.857452,5.061260,6.640745,8.713145,11.432287,15.000000,Inflection_Radius_of_Size_Distribution(um),VolC-T,REff-T,VMR-T,Std-T,VolC-F,REff-F,VMR-F,Std-F,VolC-C,REff-C,VMR-C,Std-C,Minimum_Altitude_For_Flux_Calculations(km),Maximum_Altitude_For_Flux_Calculations(km),Flux_Down(BOA),Flux_Down(TOA),Flux_Up(BOA),Flux_Up(TOA),Rad_Forcing(BOA),Rad_Forcing(TOA),Forcing_Eff(BOA),Forcing_Eff(TOA),Diffuse(BOA),Diffuse(TOA),Spectral_Flux_Down[440nm],Spectral_Flux_Down[675nm],Spectral_Flux_Down[870nm],Spectral_Flux_Down[1020nm],Spectral_Flux_Up[440nm],Spectral_Flux_Up[675nm],Spectral_Flux_Up[870nm],Spectral_Flux_Up[1020nm],Spectral_Flux_Diffuse[440nm],Spectral_Flux_Diffuse[675nm],Spectral_Flux_Diffuse[870nm],Spectral_Flux_Diffuse[1020nm],Lidar_Ratio[440nm],Lidar_Ratio[675nm],Lidar_Ratio[870nm],Lidar_Ratio[1020nm],Depolarization_Ratio[440nm],Depolarization_Ratio[675nm],Depolarization_Ratio[870nm],Depolarization_Ratio[1020nm],Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type_
2010-08-27 18:11:00,Sao_Paulo,239.0,239.757639,0.9011,0.445726,0.29339,0.228131,1.63821,0.9036,0.4473,0.2942,0.2298,0.8301,0.3707,0.2144,0.1478,0.0734,0.0766,0.0798,0.0819,1.638048,0.8081,0.8101,0.7854,0.7672,0.17338,0.084925,0.063126,0.053494,1.494385,1.5326,1.539,1.5492,1.5494,0.03836,0.025413,0.023971,0.023496,0.668414,0.588436,0.560038,0.557514,0.643736,0.537496,0.471301,0.428626,1.12192,0.940654,0.866437,0.833674,-999.0,0.000666,0.0113,0.052926,0.081048,0.076036,0.05761,0.030832,0.014393,0.008014,0.007127,0.010336,0.017615,0.024433,0.028665,0.037466,0.057469,0.085985,0.091252,0.053087,0.017679,0.00413,0.000766,0.576,0.209,0.287,0.854,1.649,0.091,0.134,0.147,0.452,0.117,2.7,3.359,0.624,0.786,120.0,431.33573,740.60804,55.26283,128.59517,-152.60124,-20.90045,-240.61903,-32.95547,163.43388,0.0,458.176449,589.531776,439.357177,340.146394,23.969578,61.038911,84.143793,68.566327,0.730622,0.420802,0.288198,0.224654,98.05,52.11,39.216,34.437,0.004895,0.010592,0.012454,0.004763,56.339226,55.752716,2.050773,0.020669,0.9011,4.0,10.0,8.0,4.0,4.0,10.0,8.0,4.0,4.0,10.0,8.0,4.0,4.0,10.0,8.0,4.0,0.05264,0.10299,0.19016,0.20031,1.0,1.0,06:01:2018,14:58:17,624.0,-23.5615,-46.734983,786.0,lev20,Almucantar<br>
2010-08-27 18:33:28,Sao_Paulo,239.0,239.773241,0.884012,0.440271,0.290598,0.22656,1.624022,0.8864,0.4418,0.2913,0.2273,0.8102,0.3625,0.2087,0.1425,0.0762,0.0794,0.0826,0.0848,1.624209,0.8187,0.8097,0.7832,0.7669,0.16067,0.084066,0.063152,0.052977,1.378291,1.5558,1.5476,1.5518,1.5477,0.036907,0.026024,0.024598,0.023704,0.670039,0.600531,0.57377,0.571235,0.644352,0.548539,0.483564,0.439606,1.118115,0.944527,0.870842,0.837248,-999.0,0.000694,0.009982,0.044397,0.067949,0.068283,0.057904,0.032413,0.014479,0.00784,0.00703,0.010122,0.017433,0.025184,0.030674,0.041147,0.062344,0.091353,0.093924,0.052144,0.017,0.004031,0.000785,0.576,0.206,0.315,0.951,1.617,0.084,0.137,0.152,0.458,0.122,2.702,3.336,0.613,0.786,120.0,361.6274,651.27619,47.80782,121.56921,-142.73868,-21.98672,-227.81975,-35.09216,147.90754,0.0,379.978519,493.805927,374.465404,292.644345,20.041623,52.196362,73.620486,60.434788,0.779056,0.457882,0.315057,0.24609,93.277,54.499,41.252,35.884,0.004996,0.010099,0.012008,0.004565,60.829609,60.220777,1.822158,0.019801,0.884012,3.0,10.0,8.0,5.0,3.0,10.0,8.0,5.0,3.0,10.0,8.0,5.0,3.0,10.0,8.0,5.0,0.05407,0.10622,0.19649,0.206,1.0,1.0,06:01:2018,14:58:57,624.0,-23.5615,-46.734983,786.0,lev20,Almucantar<br>
2010-08-28 10:33:51,Sao_Paulo,240.0,240.440174,0.803293,0.524769,0.393601,0.324441,1.036228,0.8062,0.5264,0.3943,0.3256,0.7539,0.4726,0.338,0.267,0.0523,0.0538,0.0564,0.0586,1.038756,0.9057,0.9204,0.9154,0.911,0.076017,0.041897,0.03336,0.028987,1.221538,1.4124,1.4153,1.4003,1.3908,0.009633,0.007987,0.008279,0.008477,0.71288,0.70214,0.718664,0.725632,0.696243,0.683487,0.698262,0.701511,1.080031,0.919078,0.870749,0.855354,-999.0,0.000592,0.009827,0.055973,0.093497,0.068967,0.042533,0.031428,0.035099,0.056278,0.078469,0.054202,0.026215,0.017993,0.020786,0.034279,0.059175,0.076217,0.057256,0.025856,0.009052,0.003019,0.00102,0.992,0.233,0.285,0.645,1.439,0.147,0.186,0.246,0.782,0.086,2.863,3.323,0.532,0.786,120.0,169.32064,365.09833,25.1079,104.36729,-84.11096,-35.19323,-131.30373,-54.93937,118.41616,0.0,209.433601,239.270279,179.433431,132.165283,11.179111,26.562444,38.049256,29.683943,0.940243,0.780716,0.668615,0.599743,77.648,61.567,64.999,67.269,0.030335,0.032032,0.028124,0.019303,74.059097,74.710466,1.641688,0.00324,0.803293,4.0,10.0,6.0,6.0,4.0,10.0,6.0,6.0,4.0,10.0,6.0,6.0,4.0,10.0,5.0,6.0,0.06047,0.12138,0.22739,0.23725,1.0,1.0,29:01:2021,10:48:54,624.0,-23.5615,-46.734983,786.0,lev20,Almucantar<br>
2010-08-28 10:56:51,Sao_Paulo,240.0,240.456146,0.795049,0.51738,0.38728,0.318896,1.044846,0.7987,0.5189,0.3876,0.3206,0.7486,0.467,0.3337,0.2654,0.0502,0.0519,0.0539,0.0552,1.050159,0.8951,0.9173,0.915,0.8947,0.083751,0.042898,0.032936,0.033762,1.38275,1.4467,1.446,1.4334,1.4246,0.012382,0.008838,0.008758,0.010923,0.712105,0.70166,0.711978,0.71717,0.693352,0.680737,0.688412,0.689003,1.149697,0.954434,0.894833,0.882075,-999.0,0.000959,0.012371,0.052592,0.080289,0.059829,0.035358,0.027388,0.036464,0.063468,0.070747,0.037264,0.017746,0.013891,0.018622,0.031887,0.052123,0.067771,0.064568,0.042783,0.019017,0.005593,0.001087,0.992,0.22,0.294,0.725,1.511,0.132,0.183,0.241,0.77,0.089,3.198,3.741,0.544,0.786,120.0,247.71488,474.2774,34.64728,117.3547,-97.16177,-35.96641,-152.97094,-56.62531,151.91245,0.0,300.4774,351.06247,259.258943,189.002675,16.095586,38.49726,53.656526,41.319615,0.874855,0.683037,0.569332,0.495264,79.201,64.607,68.496,74.734,0.083723,0.073029,0.062681,0.049619,69.108986,69.749721,3.256136,0.041112,0.795049,4.0,10.0,7.0,6.0,4.0,10.0,7.0,6.0,4.0,10.0,7.0,6.0,4.0,10.0,7.0,6.0,0.05739,0.1143,0.21333,0.22363,1.0,1.0,06:01:2018,15:05:42,624.0,-23.5615,-46.734983,786.0,lev20,Almucantar<br>
2010-08-28 11:47:16,Sao_Paulo,240.0,240.491157,0.771302,0.490432,0.361969,0.295064,1.099202,0.7749,0.4914,0.3625,0.2969,0.7296,0.4445,0.314,0.2471,0.0453,0.0469,0.0486,0.0498,1.104022,0.8798,0.9068,0.9137,0.9129,0.093152,0.045782,0.031276,0.025868,1.599566,1.4846,1.4759,1.4567,1.4441,0.015744,0.010984,0.009328,0.009093,0.709801,0.689515,0.698973,0.704416,0.692241,0.668495,0.675213,0.677148,1.161436,0.961862,0.89197,0.86689,-999.0,0.001174,0.009484,0.034219,0.059475,0.059405,0.041119,0.027656,0.030158,0.05248,0.063037,0.033675,0.016187,0.012557,0.016598,0.028654,0.047581,0.061551,0.056539,0.035599,0.015067,0.00427,0.000813,0.992,0.192,0.311,0.745,1.481,0.114,0.192,0.25,0.748,0.078,3.152,3.675,0.538,0.786,120.0,427.99462,692.88075,54.35021,135.32007,-104.48747,-33.21529,-171.5961,-54.54831,209.31978,0.0,522.381512,594.971488,429.18468,318.191903,27.567023,62.357519,83.631195,65.501935,0.737558,0.528189,0.427969,0.3681,79.65,64.241,66.365,69.127,0.09734,0.089569,0.075665,0.06225,58.634983,59.239545,2.059754,0.05185,0.771302,4.0,10.0,7.0,5.0,4.0,10.0,7.0,5.0,4.0,10.0,7.0,5.0,3.0,11.0,7.0,5.0,0.05312,0.1044,0.19358,0.20464,1.0,1.0,29:01:2021,10:48:17,624.0,-23.5615,-46.734983,786.0,lev20,Almucantar<br>
2010-08-28 12:10:46,Sao_Paulo,240.0,240.507477,0.73583,0.450847,0.325898,0.263065,1.183906,0.7393,0.4516,0.3264,0.265,0.6956,0.4064,0.2799,0.2178,0.0437,0.0453,0.0465,0.0472,1.188782,0.8654,0.883,0.8782,0.8715,0.099509,0.052821,0.03975,0.03407,1.353652,1.529,1.5171,1.4994,1.4869,0.020971,0.015184,0.014675,0.01471,0.696439,0.66967,0.67378,0.67754,0.676913,0.644136,0.642316,0.64059,1.198893,0.99522,0.923568,0.892395,-999.0,0.001131,0.009663,0.033218,0.05262,0.04967,0.036312,0.028283,0.032037,0.044252,0.03776,0.019098,0.011422,0.011452,0.017007,0.028621,0.044924,0.058469,0.058388,0.040856,0.018156,0.004871,0.000783,0.992,0.174,0.314,0.818,1.543,0.095,0.18,0.228,0.721,0.079,3.288,3.823,0.535,0.786,120.0,499.48203,782.57177,61.63662,136.17925,-111.55621,-26.35028,-194.80972,-46.01528,209.57223,0.0,620.704692,693.295245,492.680255,365.217609,32.416809,71.193793,93.587398,73.382095,0.672077,0.450039,0.349052,0.292908,77.672,62.264,63.574,65.632,0.099304,0.08688,0.073614,0.060022,54.005725,54.585241,1.970638,0.063093,0.73583,4.0,10.0,8.0,4.0,4.0,10.0,8.0,4.0,4.0,10.0,8.0,4.0,4.0,10.0,8.0,4.0,0.05187,0.10149,0.18769,0.19902,1.0,1.0,29:01:2021,10:48:06,624.0,-23.5615,-46.734983,786.0,lev20,Almucantar<br>
2010-08-28 18:10:49,Sao_Paulo,240.0,240.757512,0.995236,0.521518,0.352697,0.276707,1.513401,0.9978,0.5229,0.3534,0.2783,0.9189,0.4414,0.2693,0.1921,0.0789,0.0815,0.084,0.0862,1.514144,0.852,0.8524,0.8362,0.8284,0.14766,0.077173,0.057866,0.047767,1.382451,1.4715,1.4949,1.5042,1.5009,0.022787,0.016345,0.015409,0.014772,0.678741,0.601049,0.583124,0.588106,0.655867,0.55716,0.51577,0.499014,1.115826,0.934217,0.859261,0.82531,-999.0,0.000643,0.009161,0.058615,0.126635,0.103334,0.058456,0.035917,0.02766,0.020608,0.014332,0.013765,0.020345,0.031122,0.036768,0.044255,0.064568,0.096696,0.100407,0.056403,0.018058,0.003907,0.000631,0.756,0.256,0.275,0.755,1.622,0.126,0.142,0.16,0.536,0.13,2.781,3.359,0.59,0.786,120.0,422.0082,744.14177,53.74026,136.02911,-150.44256,-30.34485,-210.95248,-42.54993,186.79303,0.0,473.956724,587.37253,438.43044,339.752335,24.765588,60.777752,83.970175,68.504833,0.777764,0.488844,0.354013,0.285076,88.632,48.377,38.468,35.654,0.004897,0.010876,0.010974,0.003959,56.148758,55.560018,2.335977,0.041117,0.995236,4.0,10.0,8.0,4.0,4.0,10.0,8.0,4.0,4.0,10.0,8.0,4.0,4.0,10.0,8.0,4.0,0.0526,0.10289,0.18995,0.20009,1.0,1.0,29:01:2021,10:49:46,624.0,-23.5615,-46.734983,786.0,lev20,Almucantar<br>
2010-08-28 18:34:16,Sao_Paulo,240.0,240.773796,1.009092,0.521111,0.349355,0.274386,1.547477,1.0118,0.5225,0.35,0.2758,0.9223,0.4285,0.2509,0.1736,0.0895,0.0941,0.099,0.1022,1.548574,0.8535,0.8364,0.8188,0.8087,0.14822,0.085481,0.063426,0.052774,1.243565,1.5138,1.5291,1.5337,1.5283,0.024125,0.020528,0.018957,0.017947,0.664986,0.5917,0.576444,0.583352,0.64035,0.541511,0.492733,0.466494,1.071931,0.907069,0.840627,0.813358,-999.0,0.00076,0.00944,0.054955,0.11279,0.095769,0.053231,0.0301,0.023276,0.018826,0.013892,0.013898,0.021675,0.030612,0.032749,0.041393,0.066521,0.101561,0.102997,0.059968,0.021046,0.004816,0.000744,0.576,0.247,0.289,0.834,1.632,0.11,0.137,0.152,0.483,0.137,2.594,3.28,0.645,0.786,120.0,342.65623,650.5379,45.29552,127.74556,-148.83568,-30.20962,-207.28105,-42.07245,160.48947,0.0,374.016934,474.66643,365.246666,286.611203,19.655672,50.071575,71.760802,59.192717,0.828678,0.524418,0.378092,0.304021,80.259,46.792,36.941,34.207,0.004045,0.012396,0.012419,0.00426,60.855395,60.243767,1.992963,0.035707,1.009092,3.0,10.0,8.0,5.0,3.0,10.0,8.0,5.0,3.0,10.0,8.0,5.0,3.0,10.0,8.0,5.0,0.0541,0.10627,0.19653,0.20603,1.0,1.0,29:01:2021,10:50:25,624.0,-23.5615,-46.734983,786.0,lev20,Almucantar<br>
2010-08-28 19:24:41,Sao_Paulo,240.0,240.808808,1.024992,0.51577,0.340059,0.264087,1.609483,1.0277,0.5173,0.3408,0.2652,0.9539,0.441,0.2624,0.1849,0.0739,0.0764,0.0785,0.0803,1.610009,0.8754,0.8566,0.8345,0.8207,0.12802,0.074167,0.056425,0.047545,1.203812,1.5488,1.5374,1.5315,1.5199,0.021371,0.01806,0.017238,0.016616,0.662308,0.603586,0.587749,0.592276,0.641405,0.562533,0.523373,0.505636,1.115184,0.947414,0.873253,0.839225,-999.0,0.000661,0.00838,0.045314,0.088187,0.085471,0.058629,0.036442,0.024961,0.018141,0.013749,0.012709,0.015902,0.023473,0.0344,0.048269,0.07177,0.100367,0.092041,0.047942,0.017301,0.004523,0.000774,0.756,0.231,0.306,0.864,1.596,0.105,0.148,0.168,0.547,0.126,2.851,3.388,0.565,0.786,120.0,186.32894,425.20406,27.20133,106.75464,-113.02388,-31.5222,-155.83077,-43.46099,109.73807,0.0,196.758488,255.652102,209.227004,170.542199,10.343403,28.072712,43.898472,37.683614,0.951194,0.690522,0.506854,0.404046,68.257,47.981,39.528,36.794,0.004438,0.01118,0.011229,0.003131,71.454678,70.809895,2.360075,0.007399,1.024992,4.0,10.0,7.0,6.0,4.0,10.0,7.0,6.0,4.0,10.0,7.0,6.0,4.0,10.0,7.0,6.0,0.05927,0.11782,0.21881,0.22622,1.0,1.0,29:01:2021,10:50:37,624.0,-23.5615,-46.734983,786.0,lev20,Almucantar<br>
2010-08-28 19:48:57,Sao_Paulo,240.0,240.82566,1.034662,0.55567,0.363592,0.281205,1.518476,1.043,0.5555,0.3645,0.2837,0.9676,0.4775,0.2848,0.2026,0.0754,0.078,0.0797,0.0812,1.52773,0.8713,0.8525,0.8255,0.8091,0.13427,0.081957,0.063621,0.054163,1.096515,1.5812,1.6,1.5845,1.5653,0.022496,0.020398,0.020263,0.019905,0.642761,0.577444,0.574142,0.588197,0.620057,0.535097,0.510141,0.50573,1.13539,0.963123,0.889186,0.853596,-999.0,0.000475,0.009494,0.053961,0.09677,0.077655,0.045821,0.029808,0.023827,0.020138,0.016055,0.013536,0.014153,0.018992,0.030505,0.052566,0.084966,0.109057,0.09638,0.055082,0.020299,0.004909,0.000787,0.756,0.238,0.309,0.924,1.616,0.103,0.143,0.164,0.574,0.134,2.971,3.498,0.547,0.786,120.0,109.81239,307.16544,17.09777,88.54264,-92.9718,-27.42275,-123.5219,-36.43373,76.46265,0.0,118.848073,145.538225,125.279198,106.674324,6.189839,15.894594,26.790306,24.292102,0.989298,0.836778,0.648634,0.524169,60.44,39.965,35.59,34.929,0.004197,0.011615,0.012159,0.0047,76.716909,76.062458,4.63183,0.283578,1.034662,4.0,10.0,7.0,6.0,4.0,10.0,7.0,6.0,4.0,10.0,7.0,6.0,4.0,10.0,7.0,6.0,0.0633,0.1268,0.23596,0.24172,1.0,1.0,29:01:2021,10:50:44,624.0,-23.5615,-46.734983,786.0,lev20,Almucantar<br>
